industry,year,total_vol_12m_mean,total_vol_12m_std,systematic_vol_12m_mean,systematic_vol_12m_std,idiosyncratic_vol_12m_mean,idiosyncratic_vol_12m_std
Public Administration,2010,0.17150003163751648,0.12148447813246535,0.06385156372946652,0.058421499219674704,0.13759596393599077,0.11224785237587058
Public Administration,2011,0.14804367421287445,0.07565465082201932,0.06487067244691773,0.04390123083351514,0.11581143732448992,0.06898510124717444
Public Administration,2012,0.1461073132717508,0.07034064912584018,0.07370319116902804,0.05700347367429057,0.10913606973326417,0.053764684201098645
Public Administration,2013,0.13724768313439392,0.08888672633501253,0.04900864904241005,0.04167937432022349,0.11606643665738811,0.07831742408681941
Public Administration,2014,0.14772071245279683,0.1003604666434641,0.046823676899467634,0.03850813700221761,0.1267789796590621,0.0917592798368243
Public Administration,2015,0.13843952106836446,0.08189084951782358,0.0513901925755203,0.0448591077260047,0.11234684861712706,0.07214913288572518
Public Administration,2016,0.15098528823419632,0.09842236493697508,0.048792199862157826,0.05499054021879718,0.12697598287839842,0.08522475173666554
Public Administration,2017,0.16157275462395557,0.10253010428710152,0.04459097846957844,0.04162009170439334,0.14220531544769546,0.09346055517456896
Public Administration,2018,0.15753474129938158,0.11900594412451147,0.047907957998264,0.05441920981213506,0.1354518558144277,0.10381315972799422
Public Administration,2019,0.1799621519601529,0.12141763967799869,0.09015903455309242,0.07120774525287418,0.13495679115951154,0.10167635182639609
Public Administration,2020,0.25375434111228445,0.2967075558625168,0.12674947638288941,0.18124294347932013,0.187838873099547,0.22348316963758802
Public Administration,2021,0.2127030930863083,0.21022650666014114,0.08249756844561221,0.10594647231285022,0.17126274712876347,0.1754446362997517
Public Administration,2022,0.15085139087884197,0.10900608616216906,0.04886270142055018,0.05385456967232619,0.12921198795285765,0.09383148570972476
Public Administration,2023,0.18619197133043214,0.133438697284089,0.06423456317254797,0.06261896638603201,0.15763399290688926,0.11791478997932117
Retail Trade,1996,0.13012333603838064,0.0718512531869024,0.05135850564909966,0.04587927067695527,0.10317003929943361,0.05998868031374025
Retail Trade,1997,0.12243317901090423,0.06344232678463618,0.04058852654164134,0.03762508233895185,0.10362674753990936,0.05517702199718547
Retail Trade,1998,0.13156130923438722,0.07829627180667258,0.0596301612397481,0.04649292029568713,0.10008683932758297,0.06786342067666512
Retail Trade,1999,0.17427738302673534,0.13995356237505965,0.07434222388350889,0.05820480269389909,0.13667440206482517,0.12533907329665198
Retail Trade,2000,0.17795882501454327,0.17395518647432817,0.05044944832972061,0.04905952533632776,0.15566846286369124,0.16136475001077136
Retail Trade,2001,0.18745194930523726,0.10788554330809515,0.06300414363112401,0.06103820007769433,0.15840591404467091,0.09253134319697086
Retail Trade,2002,0.1580567999655165,0.0994966901103882,0.05820146600262672,0.051236878466578796,0.13064360306315748,0.08881825626565674
Retail Trade,2003,0.12987034980703444,0.06900850388321546,0.05648053428671065,0.044161291777698834,0.10196451347651922,0.060497100772177306
Retail Trade,2004,0.10725215885451414,0.05809519093041114,0.03998050131853135,0.030644205925853513,0.08716854870076146,0.05182327017765139
Retail Trade,2005,0.09806642075127069,0.05724808545263989,0.03448660244700359,0.03265629688046144,0.08287525109791333,0.04836615449876981
Retail Trade,2006,0.09797192209656122,0.04424314222069368,0.03664388495789152,0.02895211768128901,0.08135701057448651,0.038586443790023316
Retail Trade,2007,0.09985893002334255,0.06436672810225524,0.033137332911199004,0.025298287986797445,0.0843416294223951,0.060062976043280744
Retail Trade,2008,0.1248694815488643,0.05514393676415253,0.04923005618531479,0.039380803354038534,0.10273047174850251,0.04646435366339085
Retail Trade,2009,0.24427154599202625,0.2500800101389156,0.14773575871493572,0.16194692922537038,0.16113368938933398,0.17880948693845786
Retail Trade,2010,0.15970502930466357,0.16049085827842194,0.07718599822400285,0.09547863389586073,0.11933388827815493,0.12392493916160915
Retail Trade,2011,0.11745911690968779,0.06692449152314643,0.05855257376611981,0.04050746033377287,0.08857665675531212,0.05773565068990564
Retail Trade,2012,0.11364975975121369,0.06082192160607933,0.058214829962813706,0.04219345277033446,0.08390775944655296,0.05022178258651138
Retail Trade,2013,0.09307159325615136,0.0558098684454017,0.03420687570787238,0.031324794415342,0.0774665290990642,0.048429328606017265
Retail Trade,2014,0.09185948198626527,0.0456467779171555,0.041515048635770505,0.027843021787063237,0.07151968927231529,0.041339639582027944
Retail Trade,2015,0.08985148373881068,0.04569534073569752,0.03094759720077426,0.02587273549967436,0.07475723579728927,0.0402143618193184
Retail Trade,2016,0.10285054031074864,0.06374098471787595,0.03756113444826408,0.042257735448952775,0.08542935210825209,0.04966035069765583
Retail Trade,2017,0.10788244413074893,0.05956635860197568,0.033978065250326886,0.03001197011220844,0.09307297996319971,0.05316046844682271
Retail Trade,2018,0.11581951764472684,0.05884587336418148,0.03475641585144142,0.028265718645244145,0.09894672143120932,0.05572702089231181
Retail Trade,2019,0.13398273670016259,0.09210693915296628,0.0699629773990305,0.06468665224433971,0.09969340799071447,0.06664621570473131
Retail Trade,2020,0.1945909164028485,0.11176543952549867,0.13163716537628906,0.08943155910166718,0.11211440605963527,0.07955053551419082
Retail Trade,2021,0.15244125066066233,0.10847957055064845,0.07759725409740749,0.07916831989312638,0.10997245206398135,0.07867173370635813
